[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='er', model_name='resnet34', n=50, n_tasks=10, n_worker=0, note='[ER-Adam]_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (er)
[Selected Model: resnet34
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:198 > Train | Sample # 8 | train_loss 1.5157 | train_acc 0.4271 | lr 0.000299 | running_time 0:00:03 | ETA 5:37:58
[INFO] er_baseline.py:198 > Train | Sample # 16 | train_loss 1.3886 | train_acc 0.5573 | lr 0.000299 | running_time 0:00:04 | ETA 3:54:19
[INFO] er_baseline.py:198 > Train | Sample # 24 | train_loss 1.5506 | train_acc 0.5052 | lr 0.000299 | running_time 0:00:05 | ETA 3:20:17
[INFO] er_baseline.py:198 > Train | Sample # 32 | train_loss 1.6950 | train_acc 0.4766 | lr 0.000299 | running_time 0:00:06 | ETA 3:02:03
[INFO] er_baseline.py:198 > Train | Sample # 40 | train_loss 1.9226 | train_acc 0.3776 | lr 0.000299 | running_time 0:00:08 | ETA 2:51:16
[INFO] er_baseline.py:198 > Train | Sample # 48 | train_loss 1.7499 | train_acc 0.4062 | lr 0.000299 | running_time 0:00:09 | ETA 2:44:25
[INFO] er_baseline.py:198 > Train | Sample # 56 | train_loss 1.8347 | train_acc 0.4401 | lr 0.000299 | running_time 0:00:10 | ETA 2:39:18
[INFO] er_baseline.py:198 > Train | Sample # 64 | train_loss 1.8836 | train_acc 0.4036 | lr 0.000298 | running_time 0:00:11 | ETA 2:35:44
[INFO] er_baseline.py:198 > Train | Sample # 72 | train_loss 1.7305 | train_acc 0.3958 | lr 0.000297 | running_time 0:00:13 | ETA 2:32:53
[INFO] er_baseline.py:198 > Train | Sample # 80 | train_loss 1.8097 | train_acc 0.3750 | lr 0.000296 | running_time 0:00:14 | ETA 2:30:42
[INFO] er_baseline.py:198 > Train | Sample # 88 | train_loss 1.7922 | train_acc 0.4036 | lr 0.000296 | running_time 0:00:15 | ETA 2:28:52
[INFO] er_baseline.py:198 > Train | Sample # 96 | train_loss 2.0801 | train_acc 0.3307 | lr 0.000295 | running_time 0:00:17 | ETA 2:27:27
[INFO] er_baseline.py:208 > Test | Sample # 100 | test_loss 2.8156 | test_acc 0.2283 | 
[INFO] er_baseline.py:198 > Train | Sample # 104 | train_loss 1.5571 | train_acc 0.4844 | lr 0.000294 | running_time 0:00:18 | ETA 2:31:51
[INFO] er_baseline.py:198 > Train | Sample # 112 | train_loss 1.8305 | train_acc 0.4271 | lr 0.000294 | running_time 0:00:20 | ETA 2:30:25
[INFO] er_baseline.py:198 > Train | Sample # 120 | train_loss 1.7436 | train_acc 0.4245 | lr 0.000299 | running_time 0:00:21 | ETA 2:29:12
[INFO] er_baseline.py:198 > Train | Sample # 128 | train_loss 1.8787 | train_acc 0.4036 | lr 0.000299 | running_time 0:00:22 | ETA 2:27:23
[INFO] er_baseline.py:198 > Train | Sample # 136 | train_loss 1.7392 | train_acc 0.4792 | lr 0.000299 | running_time 0:00:23 | ETA 2:26:23
[INFO] er_baseline.py:198 > Train | Sample # 144 | train_loss 1.8309 | train_acc 0.4193 | lr 0.000299 | running_time 0:00:25 | ETA 2:24:58
[INFO] er_baseline.py:198 > Train | Sample # 152 | train_loss 1.8030 | train_acc 0.4531 | lr 0.000299 | running_time 0:00:26 | ETA 2:23:36
[INFO] er_baseline.py:198 > Train | Sample # 160 | train_loss 1.6035 | train_acc 0.4922 | lr 0.000298 | running_time 0:00:27 | ETA 2:22:24
[INFO] er_baseline.py:198 > Train | Sample # 168 | train_loss 2.0359 | train_acc 0.3359 | lr 0.000297 | running_time 0:00:28 | ETA 2:21:44
[INFO] er_baseline.py:198 > Train | Sample # 176 | train_loss 1.9813 | train_acc 0.3750 | lr 0.000296 | running_time 0:00:29 | ETA 2:21:18
[INFO] er_baseline.py:198 > Train | Sample # 184 | train_loss 1.8318 | train_acc 0.4349 | lr 0.000299 | running_time 0:00:31 | ETA 2:20:50
[INFO] er_baseline.py:198 > Train | Sample # 192 | train_loss 1.9058 | train_acc 0.4062 | lr 0.000299 | running_time 0:00:32 | ETA 2:20:23
[INFO] er_baseline.py:198 > Train | Sample # 200 | train_loss 1.6441 | train_acc 0.4818 | lr 0.000299 | running_time 0:00:33 | ETA 2:19:54
[INFO] er_baseline.py:208 > Test | Sample # 200 | test_loss 4.4454 | test_acc 0.2029 | 
[INFO] er_baseline.py:198 > Train | Sample # 208 | train_loss 1.8244 | train_acc 0.3620 | lr 0.000298 | running_time 0:00:35 | ETA 2:23:26
[INFO] er_baseline.py:198 > Train | Sample # 216 | train_loss 1.8957 | train_acc 0.3958 | lr 0.000297 | running_time 0:00:37 | ETA 2:22:54
[INFO] er_baseline.py:198 > Train | Sample # 224 | train_loss 1.6245 | train_acc 0.4870 | lr 0.000296 | running_time 0:00:38 | ETA 2:22:19
[INFO] er_baseline.py:198 > Train | Sample # 232 | train_loss 1.6675 | train_acc 0.4349 | lr 0.000296 | running_time 0:00:39 | ETA 2:21:39
[INFO] er_baseline.py:198 > Train | Sample # 240 | train_loss 1.8424 | train_acc 0.3776 | lr 0.000295 | running_time 0:00:40 | ETA 2:20:54
