Sun 25 Dec 2022 04:58:03 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.9.0
Python 3.8.11
Vit is used
[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.001, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='Finetuning', model_name='vit', n=50, n_tasks=10, n_worker=0, note='[Finetuning]_T10_Adam_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='cos', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (Finetuning)
[Selected Model: vit
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] Finetuning.py:205 > Train | Sample # 8 | train_loss 3.9235 | train_acc 0.1771 | lr 0.000402 | running_time 0:00:03 | ETA 5:33:57
[INFO] Finetuning.py:205 > Train | Sample # 16 | train_loss 2.0478 | train_acc 0.2578 | lr 0.000451 | running_time 0:00:05 | ETA 4:28:34
[INFO] Finetuning.py:205 > Train | Sample # 24 | train_loss 2.5017 | train_acc 0.2214 | lr 0.000952 | running_time 0:00:07 | ETA 4:06:32
[INFO] Finetuning.py:205 > Train | Sample # 32 | train_loss 2.4480 | train_acc 0.1875 | lr 0.000475 | running_time 0:00:09 | ETA 3:54:46
[INFO] Finetuning.py:205 > Train | Sample # 40 | train_loss 2.1896 | train_acc 0.2552 | lr 0.000029 | running_time 0:00:10 | ETA 3:48:06
[INFO] Finetuning.py:205 > Train | Sample # 48 | train_loss 3.1602 | train_acc 0.2057 | lr 0.000957 | running_time 0:00:12 | ETA 3:43:18
[INFO] Finetuning.py:205 > Train | Sample # 56 | train_loss 2.2929 | train_acc 0.2240 | lr 0.000767 | running_time 0:00:14 | ETA 3:40:11
[INFO] Finetuning.py:205 > Train | Sample # 64 | train_loss 2.2019 | train_acc 0.2161 | lr 0.000488 | running_time 0:00:16 | ETA 3:37:53
[INFO] Finetuning.py:205 > Train | Sample # 72 | train_loss 2.0824 | train_acc 0.2656 | lr 0.000212 | running_time 0:00:18 | ETA 3:35:50
[INFO] Finetuning.py:205 > Train | Sample # 80 | train_loss 2.0848 | train_acc 0.2786 | lr 0.000034 | running_time 0:00:20 | ETA 3:34:25
[INFO] Finetuning.py:205 > Train | Sample # 88 | train_loss 2.5473 | train_acc 0.1693 | lr 0.000997 | running_time 0:00:22 | ETA 3:33:15
