Thu 22 Dec 2022 05:27:38 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.9.0
Python 3.8.11
Vit is used
[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.001, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='Finetuning', model_name='vit', n=50, n_tasks=10, n_worker=0, note='(Finetuning)_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='sgd', reg_coef=100, rnd_seed=1, sched_name='cos', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (Finetuning)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] Finetuning.py:205 > Train | Sample # 8 | train_loss 1.5452 | train_acc 0.5833 | lr 0.000402 | running_time 0:00:03 | ETA 5:20:06
[INFO] Finetuning.py:205 > Train | Sample # 16 | train_loss 0.9554 | train_acc 0.7604 | lr 0.000451 | running_time 0:00:04 | ETA 4:15:05
[INFO] Finetuning.py:205 > Train | Sample # 24 | train_loss 0.8816 | train_acc 0.7708 | lr 0.000952 | running_time 0:00:06 | ETA 3:53:25
[INFO] Finetuning.py:205 > Train | Sample # 32 | train_loss 0.9770 | train_acc 0.7500 | lr 0.000475 | running_time 0:00:08 | ETA 3:42:31
[INFO] Finetuning.py:205 > Train | Sample # 40 | train_loss 0.7933 | train_acc 0.7604 | lr 0.000029 | running_time 0:00:10 | ETA 3:35:57
[INFO] Finetuning.py:205 > Train | Sample # 48 | train_loss 0.8903 | train_acc 0.8099 | lr 0.000957 | running_time 0:00:12 | ETA 3:31:20
[INFO] Finetuning.py:205 > Train | Sample # 56 | train_loss 0.8583 | train_acc 0.8073 | lr 0.000767 | running_time 0:00:14 | ETA 3:28:09
[INFO] Finetuning.py:205 > Train | Sample # 64 | train_loss 0.8370 | train_acc 0.7969 | lr 0.000488 | running_time 0:00:15 | ETA 3:25:51
[INFO] Finetuning.py:205 > Train | Sample # 72 | train_loss 0.4723 | train_acc 0.8984 | lr 0.000212 | running_time 0:00:17 | ETA 3:24:00
[INFO] Finetuning.py:205 > Train | Sample # 80 | train_loss 0.5375 | train_acc 0.8828 | lr 0.000034 | running_time 0:00:19 | ETA 3:22:29
[INFO] Finetuning.py:205 > Train | Sample # 88 | train_loss 0.8817 | train_acc 0.7422 | lr 0.000997 | running_time 0:00:21 | ETA 3:21:19
[INFO] Finetuning.py:205 > Train | Sample # 96 | train_loss 0.8941 | train_acc 0.7786 | lr 0.000960 | running_time 0:00:23 | ETA 3:20:18
[INFO] Finetuning.py:215 > Test | Sample # 100 | test_loss 0.7692 | test_acc 0.7767 | 
[INFO] Finetuning.py:205 > Train | Sample # 104 | train_loss 0.4277 | train_acc 0.8932 | lr 0.000883 | running_time 0:00:29 | ETA 3:55:49
[INFO] Finetuning.py:205 > Train | Sample # 112 | train_loss 0.5367 | train_acc 0.8828 | lr 0.000773 | running_time 0:00:31 | ETA 3:52:32
[INFO] Finetuning.py:205 > Train | Sample # 120 | train_loss 0.6678 | train_acc 0.8099 | lr 0.000639 | running_time 0:00:33 | ETA 3:49:45
[INFO] Finetuning.py:205 > Train | Sample # 128 | train_loss 0.7528 | train_acc 0.8490 | lr 0.000494 | running_time 0:00:35 | ETA 3:47:18
[INFO] Finetuning.py:205 > Train | Sample # 136 | train_loss 0.7369 | train_acc 0.8151 | lr 0.000349 | running_time 0:00:36 | ETA 3:45:06
[INFO] Finetuning.py:205 > Train | Sample # 144 | train_loss 0.6325 | train_acc 0.8542 | lr 0.000217 | running_time 0:00:38 | ETA 3:43:13
[INFO] Finetuning.py:205 > Train | Sample # 152 | train_loss 0.5539 | train_acc 0.8802 | lr 0.000110 | running_time 0:00:40 | ETA 3:41:29
[INFO] Finetuning.py:205 > Train | Sample # 160 | train_loss 0.5150 | train_acc 0.8828 | lr 0.000036 | running_time 0:00:42 | ETA 3:39:54
[INFO] Finetuning.py:205 > Train | Sample # 168 | train_loss 0.6700 | train_acc 0.8281 | lr 0.000002 | running_time 0:00:44 | ETA 3:38:28
[INFO] Finetuning.py:205 > Train | Sample # 176 | train_loss 0.8936 | train_acc 0.7891 | lr 0.000997 | running_time 0:00:46 | ETA 3:37:09
[INFO] Finetuning.py:205 > Train | Sample # 184 | train_loss 0.6714 | train_acc 0.7943 | lr 0.000984 | running_time 0:00:47 | ETA 3:35:55
[INFO] Finetuning.py:205 > Train | Sample # 192 | train_loss 0.5721 | train_acc 0.8411 | lr 0.000961 | running_time 0:00:49 | ETA 3:34:47
[INFO] Finetuning.py:205 > Train | Sample # 200 | train_loss 0.6164 | train_acc 0.8099 | lr 0.000927 | running_time 0:00:51 | ETA 3:33:43
[INFO] Finetuning.py:215 > Test | Sample # 200 | test_loss 1.3759 | test_acc 0.6171 | 
[INFO] Finetuning.py:205 > Train | Sample # 208 | train_loss 0.6553 | train_acc 0.7865 | lr 0.000885 | running_time 0:00:59 | ETA 3:58:12
[INFO] Finetuning.py:205 > Train | Sample # 216 | train_loss 0.7080 | train_acc 0.7839 | lr 0.000833 | running_time 0:01:01 | ETA 3:56:23
[INFO] Finetuning.py:205 > Train | Sample # 224 | train_loss 0.4029 | train_acc 0.8958 | lr 0.000775 | running_time 0:01:03 | ETA 3:54:43
[INFO] Finetuning.py:205 > Train | Sample # 232 | train_loss 0.7000 | train_acc 0.7891 | lr 0.000711 | running_time 0:01:05 | ETA 3:53:09
[INFO] Finetuning.py:205 > Train | Sample # 240 | train_loss 0.5876 | train_acc 0.8021 | lr 0.000642 | running_time 0:01:07 | ETA 3:51:39
[INFO] Finetuning.py:205 > Train | Sample # 248 | train_loss 0.4871 | train_acc 0.8620 | lr 0.000570 | running_time 0:01:08 | ETA 3:50:14
[INFO] Finetuning.py:205 > Train | Sample # 256 | train_loss 0.4361 | train_acc 0.8776 | lr 0.000497 | running_time 0:01:10 | ETA 3:48:55
[INFO] Finetuning.py:205 > Train | Sample # 264 | train_loss 0.6847 | train_acc 0.7604 | lr 0.000424 | running_time 0:01:12 | ETA 3:47:43
[INFO] Finetuning.py:205 > Train | Sample # 272 | train_loss 0.3987 | train_acc 0.9453 | lr 0.000352 | running_time 0:01:14 | ETA 3:46:34
[INFO] Finetuning.py:205 > Train | Sample # 280 | train_loss 0.5443 | train_acc 0.8672 | lr 0.000283 | running_time 0:01:16 | ETA 3:45:26
[INFO] Finetuning.py:205 > Train | Sample # 288 | train_loss 0.6757 | train_acc 0.8411 | lr 0.000220 | running_time 0:01:17 | ETA 3:44:23
[INFO] Finetuning.py:205 > Train | Sample # 296 | train_loss 0.7018 | train_acc 0.8490 | lr 0.000162 | running_time 0:01:19 | ETA 3:43:23
[INFO] Finetuning.py:215 > Test | Sample # 300 | test_loss 1.4295 | test_acc 0.6422 | 
[INFO] Finetuning.py:205 > Train | Sample # 304 | train_loss 0.7435 | train_acc 0.7917 | lr 0.000112 | running_time 0:01:28 | ETA 4:01:01
