Sat 24 Dec 2022 07:18:46 PM KST
NODELIST=agi1
MASTER_ADDR=agi1
conda 22.11.0
Python 3.10.8
Vit is used
[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='vit', opt_name='sgd', sched_name='cos', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir='/local_datasets/puridiver/cifar100', debug=False, note='[L2P_K]_iblurry_cifar100_3epoch', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P_kearney.py:534 > Train | Sample # 8 | train_loss 10.6251 | train_acc 0.5312 | lr 0.012074 | running_time 0:00:02 | ETA 4:05:34
[INFO] L2P_kearney.py:534 > Train | Sample # 16 | train_loss 14.2769 | train_acc 0.7083 | lr 0.013530 | running_time 0:00:04 | ETA 3:36:20
[INFO] L2P_kearney.py:534 > Train | Sample # 24 | train_loss 8.3491 | train_acc 0.7292 | lr 0.028560 | running_time 0:00:05 | ETA 3:26:14
[INFO] L2P_kearney.py:534 > Train | Sample # 32 | train_loss 9.7138 | train_acc 0.6589 | lr 0.014264 | running_time 0:00:07 | ETA 3:20:59
[INFO] L2P_kearney.py:534 > Train | Sample # 40 | train_loss 6.1363 | train_acc 0.6979 | lr 0.000877 | running_time 0:00:09 | ETA 3:17:55
[INFO] L2P_kearney.py:534 > Train | Sample # 48 | train_loss 8.9429 | train_acc 0.6823 | lr 0.028713 | running_time 0:00:11 | ETA 3:15:54
[INFO] L2P_kearney.py:534 > Train | Sample # 56 | train_loss 9.0100 | train_acc 0.6927 | lr 0.023025 | running_time 0:00:13 | ETA 3:14:21
[INFO] L2P_kearney.py:534 > Train | Sample # 64 | train_loss 7.3481 | train_acc 0.6641 | lr 0.014632 | running_time 0:00:14 | ETA 3:13:17
[INFO] L2P_kearney.py:534 > Train | Sample # 72 | train_loss 4.1437 | train_acc 0.7708 | lr 0.006363 | running_time 0:00:16 | ETA 3:12:21
[INFO] L2P_kearney.py:534 > Train | Sample # 80 | train_loss 3.1665 | train_acc 0.8568 | lr 0.001005 | running_time 0:00:18 | ETA 3:11:41
[INFO] L2P_kearney.py:534 > Train | Sample # 88 | train_loss 5.4440 | train_acc 0.6406 | lr 0.029909 | running_time 0:00:20 | ETA 3:11:13
