Thu 22 Dec 2022 06:13:50 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.11.0
Python 3.10.8
[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='resnet34', opt_name='sgd', sched_name='cos', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir='/local_datasets/puridiver/cifar100', debug=False, note='[L2P]_iblurry_cifar100_3epoch', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P.py:342 > Train | Sample # 8 | train_loss 17.5714 | train_acc 0.7708 | lr 0.030000 | running_time 0:00:04 | ETA 7:00:53
[INFO] L2P.py:342 > Train | Sample # 16 | train_loss 25.9741 | train_acc 0.8125 | lr 0.030000 | running_time 0:00:05 | ETA 5:05:20
[INFO] L2P.py:342 > Train | Sample # 24 | train_loss 23.5185 | train_acc 0.8438 | lr 0.030000 | running_time 0:00:07 | ETA 4:26:15
[INFO] L2P.py:342 > Train | Sample # 32 | train_loss 23.3470 | train_acc 0.7526 | lr 0.030000 | running_time 0:00:09 | ETA 4:07:01
[INFO] L2P.py:342 > Train | Sample # 40 | train_loss 22.9190 | train_acc 0.7109 | lr 0.030000 | running_time 0:00:11 | ETA 3:55:23
[INFO] L2P.py:342 > Train | Sample # 48 | train_loss 23.3316 | train_acc 0.8359 | lr 0.030000 | running_time 0:00:13 | ETA 3:47:41
[INFO] L2P.py:342 > Train | Sample # 56 | train_loss 24.2156 | train_acc 0.7604 | lr 0.030000 | running_time 0:00:14 | ETA 3:42:07
[INFO] L2P.py:342 > Train | Sample # 64 | train_loss 22.9278 | train_acc 0.7109 | lr 0.030000 | running_time 0:00:16 | ETA 3:38:06
[INFO] L2P.py:342 > Train | Sample # 72 | train_loss 22.9665 | train_acc 0.8490 | lr 0.030000 | running_time 0:00:18 | ETA 3:35:00
[INFO] L2P.py:342 > Train | Sample # 80 | train_loss 24.0432 | train_acc 0.8229 | lr 0.030000 | running_time 0:00:20 | ETA 3:32:18
[INFO] L2P.py:342 > Train | Sample # 88 | train_loss 23.2364 | train_acc 0.6849 | lr 0.030000 | running_time 0:00:22 | ETA 3:30:02
[INFO] L2P.py:342 > Train | Sample # 96 | train_loss 23.4417 | train_acc 0.7292 | lr 0.030000 | running_time 0:00:24 | ETA 3:28:12
[INFO] L2P.py:352 > Test | Sample # 100 | test_loss 708.9482 | test_acc 0.7542 | 
[INFO] L2P.py:342 > Train | Sample # 104 | train_loss 23.6897 | train_acc 0.7943 | lr 0.030000 | running_time 0:00:34 | ETA 4:35:06
[INFO] L2P.py:342 > Train | Sample # 112 | train_loss 23.0019 | train_acc 0.7708 | lr 0.030000 | running_time 0:00:36 | ETA 4:29:02
[INFO] L2P.py:342 > Train | Sample # 120 | train_loss 22.2261 | train_acc 0.7682 | lr 0.030000 | running_time 0:00:38 | ETA 4:23:40
[INFO] L2P.py:342 > Train | Sample # 128 | train_loss 23.4817 | train_acc 0.7760 | lr 0.030000 | running_time 0:00:39 | ETA 4:18:55
[INFO] L2P.py:342 > Train | Sample # 136 | train_loss 23.3819 | train_acc 0.6536 | lr 0.030000 | running_time 0:00:41 | ETA 4:14:47
[INFO] L2P.py:342 > Train | Sample # 144 | train_loss 23.5163 | train_acc 0.7812 | lr 0.030000 | running_time 0:00:43 | ETA 4:11:05
[INFO] L2P.py:342 > Train | Sample # 152 | train_loss 23.4558 | train_acc 0.7943 | lr 0.030000 | running_time 0:00:45 | ETA 4:07:44
[INFO] L2P.py:342 > Train | Sample # 160 | train_loss 22.8956 | train_acc 0.7656 | lr 0.030000 | running_time 0:00:47 | ETA 4:04:49
