[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='resnet34', opt_name='adam', sched_name='default', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir=None, debug=False, note='clib', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks
[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P.py:339 > Train | Sample # 8 | train_loss 20.4200 | train_acc 0.7448 | lr 0.029928 | running_time 0:00:03 | ETA 6:09:27
[INFO] L2P.py:339 > Train | Sample # 16 | train_loss 40.0154 | train_acc 0.8229 | lr 0.029856 | running_time 0:00:06 | ETA 5:37:31
[INFO] L2P.py:339 > Train | Sample # 24 | train_loss 39.9356 | train_acc 0.8021 | lr 0.029785 | running_time 0:00:09 | ETA 5:25:44
[INFO] L2P.py:339 > Train | Sample # 32 | train_loss 40.2047 | train_acc 0.7396 | lr 0.029713 | running_time 0:00:12 | ETA 5:20:04
[INFO] L2P.py:339 > Train | Sample # 40 | train_loss 40.2661 | train_acc 0.6823 | lr 0.029642 | running_time 0:00:15 | ETA 5:16:27
[INFO] L2P.py:339 > Train | Sample # 48 | train_loss 39.9308 | train_acc 0.8047 | lr 0.029571 | running_time 0:00:18 | ETA 5:13:59
[INFO] L2P.py:339 > Train | Sample # 56 | train_loss 40.4281 | train_acc 0.6927 | lr 0.029500 | running_time 0:00:20 | ETA 5:11:48
[INFO] L2P.py:339 > Train | Sample # 64 | train_loss 40.5122 | train_acc 0.6510 | lr 0.029429 | running_time 0:00:23 | ETA 5:10:24
[INFO] L2P.py:339 > Train | Sample # 72 | train_loss 39.9118 | train_acc 0.8151 | lr 0.029359 | running_time 0:00:26 | ETA 5:09:13
[INFO] L2P.py:339 > Train | Sample # 80 | train_loss 39.9477 | train_acc 0.8490 | lr 0.029289 | running_time 0:00:29 | ETA 5:08:26
[INFO] L2P.py:339 > Train | Sample # 88 | train_loss 40.4384 | train_acc 0.6458 | lr 0.029218 | running_time 0:00:32 | ETA 5:07:30
[INFO] L2P.py:339 > Train | Sample # 96 | train_loss 40.4378 | train_acc 0.6276 | lr 0.029148 | running_time 0:00:35 | ETA 5:06:48
