[INFO] main.py:39 > Namespace(mode='clib', dataset='tinyimagenet', n_tasks=5, n=50, m=10, rnd_seed=1, memory_size=4000, log_path='results', model_name='resnet34', opt_name='adam', sched_name='default', batchsize=32, n_worker=0, lr=0.0003, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir=None, debug=False, note='clib', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(64, 64), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.IMAGENET, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4802, 0.4481, 0.3975), std=(0.2302, 0.2265, 0.2262))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
[INFO] main.py:110 > [2] Incrementally training 5 tasks
[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:198 > Train | Sample # 1 | train_loss 0.0000 | train_acc 1.0000 | lr 0.000300 | running_time 0:00:01 | ETA 1 day, 13:49:33
[INFO] er_baseline.py:198 > Train | Sample # 2 | train_loss 0.6436 | train_acc 0.6667 | lr 0.000300 | running_time 0:00:01 | ETA 20:58:48
[INFO] er_baseline.py:198 > Train | Sample # 3 | train_loss 0.5140 | train_acc 0.7778 | lr 0.000300 | running_time 0:00:01 | ETA 15:27:17
[INFO] er_baseline.py:198 > Train | Sample # 4 | train_loss 1.7905 | train_acc 0.1667 | lr 0.000300 | running_time 0:00:01 | ETA 12:39:33
[INFO] er_baseline.py:198 > Train | Sample # 5 | train_loss 1.1815 | train_acc 0.6000 | lr 0.000300 | running_time 0:00:01 | ETA 11:03:49
[INFO] er_baseline.py:198 > Train | Sample # 6 | train_loss 1.6383 | train_acc 0.3889 | lr 0.000300 | running_time 0:00:02 | ETA 9:59:56
[INFO] er_baseline.py:198 > Train | Sample # 7 | train_loss 1.5248 | train_acc 0.4762 | lr 0.000300 | running_time 0:00:02 | ETA 9:17:18
[INFO] er_baseline.py:198 > Train | Sample # 8 | train_loss 1.7396 | train_acc 0.3750 | lr 0.000300 | running_time 0:00:02 | ETA 8:43:54
[INFO] er_baseline.py:198 > Train | Sample # 9 | train_loss 1.7169 | train_acc 0.3704 | lr 0.000300 | running_time 0:00:02 | ETA 8:21:16
[INFO] er_baseline.py:198 > Train | Sample # 10 | train_loss 1.5710 | train_acc 0.5667 | lr 0.000300 | running_time 0:00:02 | ETA 8:01:28
[INFO] er_baseline.py:198 > Train | Sample # 11 | train_loss 1.6627 | train_acc 0.5152 | lr 0.000285 | running_time 0:00:03 | ETA 7:44:47
[INFO] er_baseline.py:198 > Train | Sample # 12 | train_loss 1.7294 | train_acc 0.4167 | lr 0.000285 | running_time 0:00:03 | ETA 7:33:55
[INFO] er_baseline.py:198 > Train | Sample # 13 | train_loss 1.5832 | train_acc 0.5128 | lr 0.000285 | running_time 0:00:03 | ETA 7:24:11
[INFO] er_baseline.py:198 > Train | Sample # 14 | train_loss 2.0574 | train_acc 0.4286 | lr 0.000285 | running_time 0:00:03 | ETA 7:15:33
[INFO] er_baseline.py:198 > Train | Sample # 15 | train_loss 2.1491 | train_acc 0.3333 | lr 0.000285 | running_time 0:00:03 | ETA 7:08:42
[INFO] er_baseline.py:198 > Train | Sample # 16 | train_loss 1.7786 | train_acc 0.4167 | lr 0.000285 | running_time 0:00:04 | ETA 7:05:00
[INFO] er_baseline.py:198 > Train | Sample # 17 | train_loss 1.6593 | train_acc 0.5294 | lr 0.000285 | running_time 0:00:04 | ETA 7:01:11
[INFO] er_baseline.py:198 > Train | Sample # 18 | train_loss 1.7480 | train_acc 0.5370 | lr 0.000285 | running_time 0:00:04 | ETA 6:57:07
[INFO] er_baseline.py:198 > Train | Sample # 19 | train_loss 1.9284 | train_acc 0.4912 | lr 0.000285 | running_time 0:00:04 | ETA 6:54:02
[INFO] er_baseline.py:198 > Train | Sample # 20 | train_loss 1.5137 | train_acc 0.6667 | lr 0.000285 | running_time 0:00:04 | ETA 6:52:32
[INFO] er_baseline.py:198 > Train | Sample # 21 | train_loss 2.1409 | train_acc 0.4603 | lr 0.000300 | running_time 0:00:05 | ETA 6:51:56
[INFO] er_baseline.py:198 > Train | Sample # 22 | train_loss 2.3246 | train_acc 0.1667 | lr 0.000300 | running_time 0:00:05 | ETA 6:50:25
[INFO] er_baseline.py:198 > Train | Sample # 23 | train_loss 1.6579 | train_acc 0.6377 | lr 0.000300 | running_time 0:00:05 | ETA 6:48:29
[INFO] er_baseline.py:198 > Train | Sample # 24 | train_loss 2.0162 | train_acc 0.4722 | lr 0.000300 | running_time 0:00:05 | ETA 6:48:34
[INFO] er_baseline.py:198 > Train | Sample # 25 | train_loss 1.5036 | train_acc 0.6133 | lr 0.000300 | running_time 0:00:06 | ETA 6:49:16
[INFO] er_baseline.py:198 > Train | Sample # 26 | train_loss 2.2296 | train_acc 0.4487 | lr 0.000300 | running_time 0:00:06 | ETA 6:50:06
[INFO] er_baseline.py:198 > Train | Sample # 27 | train_loss 1.8273 | train_acc 0.5926 | lr 0.000300 | running_time 0:00:06 | ETA 6:50:35
[INFO] er_baseline.py:198 > Train | Sample # 28 | train_loss 2.2581 | train_acc 0.3929 | lr 0.000300 | running_time 0:00:06 | ETA 6:51:49
[INFO] er_baseline.py:198 > Train | Sample # 29 | train_loss 1.3984 | train_acc 0.6667 | lr 0.000300 | running_time 0:00:07 | ETA 6:53:27
[INFO] er_baseline.py:198 > Train | Sample # 30 | train_loss 1.5035 | train_acc 0.6333 | lr 0.000300 | running_time 0:00:07 | ETA 6:53:41
[INFO] er_baseline.py:198 > Train | Sample # 31 | train_loss 1.3973 | train_acc 0.7097 | lr 0.000285 | running_time 0:00:07 | ETA 6:55:25
[INFO] er_baseline.py:198 > Train | Sample # 32 | train_loss 1.4080 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:07 | ETA 6:56:28
[INFO] er_baseline.py:198 > Train | Sample # 33 | train_loss 1.7076 | train_acc 0.5104 | lr 0.000285 | running_time 0:00:08 | ETA 6:57:57
[INFO] er_baseline.py:198 > Train | Sample # 34 | train_loss 2.1148 | train_acc 0.3646 | lr 0.000285 | running_time 0:00:08 | ETA 6:59:52
[INFO] er_baseline.py:198 > Train | Sample # 35 | train_loss 1.6045 | train_acc 0.6875 | lr 0.000285 | running_time 0:00:08 | ETA 7:01:37
[INFO] er_baseline.py:198 > Train | Sample # 36 | train_loss 1.7614 | train_acc 0.4792 | lr 0.000285 | running_time 0:00:09 | ETA 7:03:14
[INFO] er_baseline.py:198 > Train | Sample # 37 | train_loss 1.4982 | train_acc 0.7188 | lr 0.000285 | running_time 0:00:09 | ETA 7:03:07
[INFO] er_baseline.py:198 > Train | Sample # 38 | train_loss 1.7119 | train_acc 0.6146 | lr 0.000285 | running_time 0:00:09 | ETA 7:03:41
[INFO] er_baseline.py:198 > Train | Sample # 39 | train_loss 1.9184 | train_acc 0.5729 | lr 0.000285 | running_time 0:00:09 | ETA 7:04:34
[INFO] er_baseline.py:198 > Train | Sample # 40 | train_loss 1.1314 | train_acc 0.7292 | lr 0.000285 | running_time 0:00:10 | ETA 7:05:39
[INFO] er_baseline.py:198 > Train | Sample # 41 | train_loss 1.4600 | train_acc 0.6667 | lr 0.000300 | running_time 0:00:10 | ETA 7:05:47
[INFO] er_baseline.py:198 > Train | Sample # 42 | train_loss 1.5430 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:10 | ETA 7:06:40
[INFO] er_baseline.py:198 > Train | Sample # 43 | train_loss 1.3975 | train_acc 0.7292 | lr 0.000300 | running_time 0:00:11 | ETA 7:07:25
[INFO] er_baseline.py:198 > Train | Sample # 44 | train_loss 1.5449 | train_acc 0.6042 | lr 0.000300 | running_time 0:00:11 | ETA 7:08:41
[INFO] er_baseline.py:198 > Train | Sample # 45 | train_loss 1.8018 | train_acc 0.5833 | lr 0.000300 | running_time 0:00:11 | ETA 7:09:35
[INFO] er_baseline.py:198 > Train | Sample # 46 | train_loss 1.8570 | train_acc 0.5833 | lr 0.000300 | running_time 0:00:11 | ETA 7:11:19
[INFO] er_baseline.py:198 > Train | Sample # 47 | train_loss 1.6037 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:12 | ETA 7:12:20
[INFO] er_baseline.py:198 > Train | Sample # 48 | train_loss 1.8337 | train_acc 0.6146 | lr 0.000300 | running_time 0:00:12 | ETA 7:12:40
[INFO] er_baseline.py:198 > Train | Sample # 49 | train_loss 2.2417 | train_acc 0.4688 | lr 0.000300 | running_time 0:00:12 | ETA 7:13:32
[INFO] er_baseline.py:198 > Train | Sample # 50 | train_loss 1.3022 | train_acc 0.7292 | lr 0.000300 | running_time 0:00:13 | ETA 7:14:56
[INFO] er_baseline.py:198 > Train | Sample # 51 | train_loss 1.5010 | train_acc 0.6771 | lr 0.000285 | running_time 0:00:13 | ETA 7:15:27
